gtfsId,name,lat,lon,location,zoneId,mode,duration,walk_distance
HSL:1130120,Caloniuksenkatu,60.171811,24.920404,"60.171811, 24.920404",A,BUS,12.0,573.0
HSL:2111258,Konstaapelinkatu,60.221708,24.814133,"60.221708, 24.814133",B,BUS,21.0,689.0
HSL:2111256,Puustellinmäki,60.21934,24.8217,"60.21934, 24.8217",B,BUS,26.0,1017.0
HSL:2111257,Konstaapelinkatu,60.221708,24.814276,"60.221708, 24.814276",B,BUS,21.0,678.0
HSL:2111254,Timpurinkuja,60.222934,24.81453,"60.222934, 24.81453",B,BUS,23.0,801.0
HSL:1130127,Maria,60.16878,24.921326,"60.16878, 24.921326",A,BUS,16.0,789.0
HSL:1130128,Maria,60.1673,24.9212,"60.1673, 24.9212",A,BUS,15.0,622.0
HSL:2111252,Hakkukuja,60.224535,24.812782,"60.224535, 24.812782",B,BUS,25.0,996.0
HSL:2111250,Leppävaaran uimah.,60.225846,24.804139,"60.225846, 24.804139",B,BUS,33.0,1504.0
HSL:9226209,Hommanäsintie,60.443535,25.24445,"60.443535, 25.24445",D,BUS,68.0,256.0
HSL:9226208,Solbackantie,60.440662,25.24323,"60.440662, 25.24323",D,BUS,68.0,256.0
HSL:9226207,Solbackantie,60.441348,25.24349,"60.441348, 25.24349",D,BUS,69.0,332.0
HSL:9214220,Kuckubacka,60.357083,25.167383,"60.357083, 25.167383",D,BUS,43.0,394.0
HSL:9226206,Götbacka,60.447018,25.243005,"60.447018, 25.243005",D,BUS,69.0,281.0
HSL:9226205,Götbacka,60.447078,25.242497,"60.447078, 25.242497",D,BUS,68.0,256.0
HSL:9214221,Kuckubacka,60.357143,25.168667,"60.357143, 25.168667",D,BUS,43.0,427.0
HSL:9214222,Länsitie,60.358407,25.176255,"60.358407, 25.176255",D,BUS,41.0,256.0
HSL:9226204,Solbergintie,60.452095,25.234323,"60.452095, 25.234323",D,BUS,70.0,266.0
HSL:9214223,Länsitie,60.35865,25.178128,"60.35865, 25.178128",D,BUS,43.0,373.0
HSL:9226203,Solbergintie,60.452169,25.234042,"60.452169, 25.234042",D,BUS,69.0,256.0
HSL:9226202,Honkala,60.455297,25.22762,"60.455297, 25.22762",D,BUS,70.0,256.0
HSL:9214224,Johanneberg,60.359773,25.180833,"60.359773, 25.180833",D,BUS,41.0,256.0
HSL:9214225,Lammelantie,60.342921,25.152253,"60.342921, 25.152253",D,BUS,50.0,602.0
HSL:9226201,Honkala,60.455432,25.227765,"60.455432, 25.227765",D,BUS,71.0,275.0
HSL:9214226,Lammelantie,60.342592,25.152172,"60.342592, 25.152172",D,BUS,50.0,566.0
HSL:9214227,Svartböle,60.354067,25.158408,"60.354067, 25.158408",D,BUS,41.0,391.0
HSL:2443282,Vesiniitty,60.136453,24.678871,"60.136453, 24.678871",C,BUS,38.0,379.0
HSL:2111248,Veräjäkallionkatu,60.226787,24.809955,"60.226787, 24.809955",B,BUS,29.0,1336.0
HSL:2111245,Laturintörmä,60.224056,24.819907,"60.224056, 24.819907",B,BUS,26.0,1080.0
HSL:2111246,Ajurinmäki,60.226573,24.814855,"60.226573, 24.814855",B,BUS,29.0,1250.0
HSL:2111243,Arkadianportaat,60.221495,24.815871,"60.221495, 24.815871",B,BUS,21.0,693.0
HSL:2111244,Kyyhkyspuistonpolku,60.228767,24.812573,"60.228767, 24.812573",B,BUS,32.0,1556.0
HSL:2111241,Aseveljentie,60.22883,24.82451,"60.22883, 24.82451",B,BUS,32.0,563.0
HSL:2111242,Kyyhkyspuisto,60.228705,24.811597,"60.228705, 24.811597",B,BUS,33.0,1605.0
